"","Data","ABREU.E.LIMA","AFOGADOS.DA.INGAZEIRA","AFRANIO","AGRESTINA","AGUA.PRETA","AGUAS.BELAS","ALAGOINHA","ALIANCA","ALTINHO","AMARAJI","ARACOIABA","ARARIPINA","ARCOVERDE","BARRA.DE.GUABIRABA","BARREIROS","BELEM.DE.SAO.FRANCISCO","BELO.JARDIM","BETANIA","BEZERROS","BOM.CONSELHO","BOM.JARDIM","BONITO","BREJO.DA.MADRE.DE.DEUS","BUENOS.AIRES","BUIQUE","CABO.DE.SANTO.AGOSTINHO","CABROBO","CACHOEIRINHA","CAETES","CAMARAGIBE","CAMOCIM.DE.SAO.FELIX","CAMUTANGA","CANHOTINHO","CAPOEIRAS","CARNAIBA","CARNAUBEIRA.DA.PENHA","CARPINA","CARUARU","CASINHAS","CATENDE","CEDRO","CHA.DE.ALEGRIA","CHA.GRANDE","CONDADO","CORRENTES","CORTES","CUMARU","CUPIRA","CUSTODIA","ESCADA","FEIRA.NOVA","FERNANDO.DE.NORONHA","FERREIROS","FLORESTA","FREI.MIGUELINHO","GAMELEIRA","GARANHUNS","GLORIA.DO.GOITA","GOIANA","GRANITO","GRAVATA","IBIMIRIM","IBIRAJUBA","IGARASSU","IGUARACI","ILHA.DE.ITAMARACA","INAJA","IPOJUCA","IPUBI","ITAIBA","ITAMBE","ITAPETIM","ITAPISSUMA","ITAQUITINGA","JABOATAO.DOS.GUARARAPES","JAQUEIRA","JATAUBA","JATOBA","JOAO.ALFREDO","JOAQUIM.NABUCO","JUCATI","JUPI","JUREMA","LAGOA.DO.CARRO","LAGOA.DO.ITAENGA","LAGOA.DO.OURO","LAGOA.DOS.GATOS","LAGOA.GRANDE","LAJEDO","LIMOEIRO","MACAPARANA","MACHADOS","MARAIAL","MORENO","NAZARE.DA.MATA","OLINDA","OROBO","OROCO","OURICURI","OUTRO.ESTADO","OUTRO.PAIS","PALMARES","PANELAS","PARANATAMA","PASSIRA","PAUDALHO","PAULISTA","PEDRA","PESQUEIRA","PETROLANDIA","PETROLINA","POCAO","POMBOS","PRIMAVERA","QUIPAPA","QUIXABA","RECIFE","RIBEIRAO","RIO.FORMOSO","SAIRE","SALGUEIRO","SALOA","SANHARO","SANTA.CRUZ","SANTA.CRUZ.DO.CAPIBARIBE","SANTA.MARIA.DA.BOA.VISTA","SANTA.MARIA.DO.CAMBUCA","SAO.BENEDITO.DO.SUL","SAO.BENTO.DO.UNA","SAO.CAITANO","SAO.JOAO","SAO.JOAQUIM.DO.MONTE","SAO.JOSE.DA.COROA.GRANDE","SAO.JOSE.DO.BELMONTE","SAO.JOSE.DO.EGITO","SAO.LOURENCO.DA.MATA","SAO.VICENTE.FERRER","SERRA.TALHADA","SERRITA","SERTANIA","SIRINHAEM","SURUBIM","TABIRA","TAMANDARE","TAQUARITINGA.DO.NORTE","TEREZINHA","TERRA.NOVA","TIMBAUBA","TORITAMA","TRACUNHAEM","TRINDADE","TRIUNFO","TUPANATINGA","TUPARETAMA","VENTUROSA","VERTENTE.DO.LERIO","VERTENTES","VICENCIA","VITORIA.DE.SANTO.ANTAO","XEXEU"
"51","01 May",77,2,1,1,5,0,1,10,2,6,6,0,14,0,1,0,7,4,1,2,10,5,0,0,0,98,1,8,5,249,3,0,0,2,2,1,16,30,0,4,1,11,19,8,2,1,0,2,4,8,4,28,2,0,6,1,15,15,29,1,11,2,1,76,1,9,1,27,8,0,1,1,7,3,627,1,1,1,7,0,1,1,3,15,3,1,2,0,1,19,5,4,0,35,9,664,1,1,2,13,3,10,2,0,9,40,484,7,2,0,20,1,26,3,1,1,4021,7,3,1,14,0,0,0,4,1,1,0,4,15,1,1,13,1,1,167,1,11,0,6,6,5,2,2,1,0,1,14,1,2,4,2,3,1,3,0,1,6,97,3
"52","02 May",83,2,1,1,6,3,2,10,2,6,8,0,27,0,1,0,9,4,1,2,10,5,1,0,0,109,1,8,6,277,3,0,0,2,2,1,17,35,0,5,1,12,19,10,2,2,0,2,10,9,5,28,2,0,6,1,16,17,37,1,14,5,1,89,1,13,1,29,9,0,1,2,7,5,698,1,1,2,7,1,1,1,3,16,3,1,2,0,2,22,5,4,0,38,11,743,1,1,4,14,3,15,2,0,13,43,527,8,5,0,23,1,33,3,1,1,4453,7,3,1,16,0,0,0,4,1,1,0,5,15,2,1,14,1,2,174,1,11,0,6,6,5,2,3,1,0,1,15,1,2,5,2,3,1,3,0,1,6,98,3
"53","03 May",87,2,1,1,7,3,2,10,2,6,8,1,27,0,1,0,9,4,1,2,10,5,1,1,1,132,1,8,6,292,3,0,0,2,2,1,20,38,0,5,1,12,20,11,2,2,0,2,10,11,5,28,2,0,6,1,16,17,41,1,14,5,1,97,1,15,1,31,9,0,1,2,8,6,736,1,1,2,7,2,1,1,3,17,3,1,2,0,2,22,6,4,0,40,11,802,1,1,4,16,3,15,2,0,14,45,564,8,7,2,23,1,33,3,1,1,4702,7,4,1,17,0,0,0,4,1,1,0,5,15,2,1,16,1,2,182,1,12,0,8,7,5,3,4,1,0,1,16,1,2,7,2,3,1,3,0,1,6,104,3
"54","04 May",87,2,1,1,8,3,2,11,2,7,9,1,27,0,1,0,9,4,2,2,10,5,1,1,1,133,1,8,6,297,3,0,0,2,2,1,20,41,0,6,1,12,20,11,2,4,0,2,10,12,6,28,3,1,6,1,16,17,42,1,14,6,1,98,2,15,1,35,9,0,1,2,9,6,753,1,1,2,7,2,1,1,3,17,3,1,2,0,3,23,6,5,0,41,12,830,1,1,4,16,3,16,2,0,16,47,585,8,7,2,23,1,33,3,1,1,4807,7,4,1,17,0,2,0,4,1,1,0,5,16,2,1,16,1,2,183,1,12,0,8,7,5,3,4,1,0,1,16,1,2,7,2,3,1,3,0,1,6,105,3
"55","05 May",91,2,1,1,8,3,2,11,2,7,9,1,28,0,1,0,9,4,2,2,11,5,1,2,1,142,1,8,6,310,4,0,0,2,2,1,21,46,0,6,1,14,25,11,2,4,0,3,10,14,7,28,3,1,16,1,17,18,42,1,14,6,1,98,2,15,1,35,9,0,2,2,10,7,812,1,1,2,7,2,1,1,3,17,4,1,2,0,3,24,7,5,0,41,12,867,1,1,5,16,3,17,2,0,16,47,616,8,7,2,64,1,33,3,1,1,4989,8,4,1,19,0,2,0,6,1,1,0,5,17,2,1,16,1,2,193,1,12,0,8,8,5,3,5,1,0,1,17,1,2,7,2,3,1,3,0,1,6,125,3
"56","06 May",99,2,1,1,9,4,2,12,3,7,9,1,28,0,1,0,9,4,3,2,11,6,1,2,1,156,1,8,6,329,4,0,0,2,2,1,22,48,0,6,1,14,28,11,2,4,0,3,10,15,7,28,3,1,16,3,18,18,44,1,15,6,1,98,2,15,1,37,9,0,2,2,21,7,875,1,1,2,8,2,1,1,3,18,4,1,2,0,3,24,7,5,1,44,12,915,1,1,5,16,3,18,2,0,16,47,658,8,7,2,64,1,33,6,1,1,5294,8,4,1,22,0,2,1,6,1,1,0,5,17,2,1,16,1,3,199,1,12,0,8,8,5,3,6,1,0,1,19,1,2,9,2,3,1,3,0,1,6,135,3
"57","07 May",114,3,1,1,12,6,2,14,3,8,9,1,31,0,1,0,10,4,3,3,11,6,1,2,2,171,1,8,6,348,5,0,0,2,2,1,24,53,0,7,1,16,32,14,2,5,0,3,12,20,8,28,6,2,16,3,23,20,56,1,17,7,1,102,2,18,1,44,9,0,3,2,24,7,979,2,1,2,8,2,1,2,3,18,5,1,2,0,3,25,7,5,1,48,17,1014,1,1,7,18,3,21,4,0,18,52,708,8,7,2,66,1,37,6,1,2,5775,11,4,1,23,0,2,1,7,1,1,0,5,17,2,1,16,1,3,211,1,16,0,10,8,5,4,8,1,0,1,23,1,2,10,3,3,1,4,0,3,7,136,3
"58","08 May",121,3,1,3,15,8,2,14,4,8,9,7,33,0,5,0,10,4,3,3,12,6,1,2,2,180,1,8,6,378,5,0,0,3,3,1,26,60,0,7,1,16,32,17,2,5,1,3,16,21,9,28,8,3,16,3,24,21,59,1,17,10,1,114,3,20,1,51,10,0,3,2,25,8,1066,2,6,2,8,2,2,2,4,18,5,1,3,0,3,25,7,5,1,50,17,1090,1,1,7,19,3,24,4,0,21,53,760,8,9,2,66,1,44,7,1,3,6133,13,4,1,23,0,2,1,9,1,1,0,5,17,2,2,18,1,3,224,1,16,0,10,12,6,4,9,1,0,1,23,1,2,10,5,3,1,4,0,3,9,145,3
"59","09 May",129,3,1,3,17,10,2,15,5,10,10,7,34,0,7,0,10,4,5,3,13,7,1,3,2,209,1,8,8,404,5,1,0,3,3,1,29,64,0,9,1,25,33,18,2,5,7,3,16,25,10,28,10,4,16,4,24,23,66,1,20,10,1,121,3,21,1,61,10,1,4,3,25,9,1150,5,7,2,8,2,2,2,5,18,5,1,3,0,3,26,7,5,1,51,18,1163,1,1,9,19,3,27,5,0,21,59,799,10,10,3,67,3,49,7,1,3,6581,17,6,1,26,0,2,1,11,1,1,0,6,17,2,3,18,1,5,235,2,17,0,11,14,6,4,9,1,0,1,25,1,2,10,5,5,1,4,0,4,10,160,3
"60","10 May",131,4,1,3,18,15,2,24,5,11,10,8,34,0,11,0,10,4,5,3,13,7,1,3,3,221,1,9,9,420,5,3,0,3,4,1,31,70,0,11,1,25,35,19,2,5,9,5,17,27,12,28,10,4,16,4,39,26,70,1,24,10,1,130,3,21,1,68,10,1,5,3,26,9,1229,8,9,2,10,2,2,2,5,21,7,1,3,0,3,28,7,5,1,56,18,1222,2,1,9,19,3,27,5,0,22,65,857,10,10,3,67,3,60,9,1,4,6984,17,7,1,27,0,2,1,11,2,1,1,7,20,2,3,20,1,5,246,4,17,0,11,17,10,4,10,2,0,1,26,2,3,10,5,5,1,4,0,4,11,167,3
"61","11 May",136,4,1,4,21,15,2,24,5,15,10,12,34,3,13,0,11,4,7,6,14,9,2,3,3,230,1,13,9,431,5,3,1,3,4,1,31,72,0,12,1,25,35,20,2,5,9,5,17,32,14,28,10,4,16,4,44,27,77,1,29,10,1,133,3,21,1,74,10,1,6,3,26,10,1274,8,9,2,11,3,3,2,5,21,7,1,3,0,3,30,7,5,1,60,18,1253,2,1,9,21,3,31,5,0,23,67,890,12,11,3,67,3,64,11,1,4,7224,18,7,1,27,1,2,1,11,2,2,1,7,20,2,3,21,1,5,249,4,19,0,11,17,11,4,10,2,0,1,27,2,3,10,6,5,1,4,0,4,11,173,3
"62","12 May",144,5,1,4,21,18,2,24,5,16,10,13,34,3,13,0,12,4,8,6,14,9,2,3,3,238,1,13,9,450,5,3,1,3,5,1,32,76,0,13,1,25,35,20,2,8,9,5,17,36,15,28,12,4,16,7,44,27,81,1,30,10,1,138,3,23,1,79,10,1,7,3,28,10,1329,11,9,2,17,3,3,2,5,22,7,1,3,0,3,32,9,6,1,64,20,1300,2,1,9,22,3,31,6,0,24,69,921,12,11,3,68,3,70,11,1,4,7477,18,10,1,32,1,2,1,11,2,2,1,8,20,2,4,21,1,5,258,5,20,1,11,18,11,4,13,2,1,1,27,2,3,12,6,5,1,4,1,7,12,179,3
"63","13 May",153,5,1,4,25,20,2,25,5,16,10,15,34,4,14,0,14,4,17,6,17,10,2,3,3,244,1,13,9,463,6,3,1,3,5,2,32,85,0,13,1,25,37,20,2,11,10,5,17,39,16,28,15,4,17,8,45,30,87,1,31,10,1,149,3,26,1,85,10,1,11,3,29,10,1387,11,9,2,17,3,3,2,7,22,7,1,3,0,5,32,9,7,1,70,20,1341,2,1,9,23,3,32,6,1,24,69,949,12,11,3,68,3,73,12,1,4,7757,18,12,1,32,1,3,1,11,2,2,1,15,21,2,8,22,1,5,273,5,22,1,11,20,12,4,13,2,2,1,29,2,3,12,6,5,1,4,1,7,13,190,3
"64","14 May",162,5,1,5,27,21,2,25,5,17,11,15,34,4,15,0,14,4,17,6,18,10,3,3,3,279,1,15,9,477,6,3,1,3,5,2,33,96,1,13,1,25,37,21,2,11,11,5,17,42,17,28,15,4,17,8,47,30,93,1,33,10,1,155,3,27,1,92,10,1,11,3,30,11,1487,11,9,2,17,3,3,2,7,22,8,1,3,0,5,33,9,8,1,77,23,1384,2,1,9,23,3,32,6,1,26,70,983,12,11,3,71,3,78,12,1,4,8096,21,12,1,33,1,3,1,12,2,2,1,17,21,2,8,22,1,5,278,5,23,1,11,22,12,4,14,2,3,1,29,2,3,12,6,5,1,4,1,7,14,205,4
"65","15 May",168,5,1,5,32,21,2,26,6,17,11,16,34,4,16,1,16,4,19,6,18,11,3,3,3,296,2,15,9,498,9,3,1,3,5,2,34,108,1,15,1,25,41,21,2,12,11,8,17,46,19,28,15,4,17,9,49,32,97,1,37,11,1,161,3,28,1,103,10,1,11,3,31,11,1543,11,12,2,20,3,3,2,7,24,8,1,3,1,5,38,9,9,1,85,23,1445,2,2,9,23,3,34,6,1,26,72,1029,12,11,3,77,3,78,13,1,4,8352,21,13,1,33,1,3,1,12,2,3,1,17,21,2,8,24,1,5,285,5,23,1,12,23,13,5,15,3,3,1,31,2,3,12,7,5,1,4,2,7,14,226,5
