"","Data","Confirmado","Fitting"
"1",2020-02-26,1,0.999959809820584
"2",2020-02-27,1,1.29437210241279
"3",2020-02-28,1,1.67546063934442
"4",2020-02-29,2,2.16873933626042
"5",2020-03-01,2,2.80722969096198
"6",2020-03-02,2,3.63366812347159
"7",2020-03-03,2,4.70336109148349
"8",2020-03-04,4,6.08787725910668
"9",2020-03-05,4,7.87982074804604
"10",2020-03-06,13,10.1989997127807
"11",2020-03-07,13,13.200394263974
"12",2020-03-08,20,17.0844421395927
"13",2020-03-09,25,22.110305498294
"14",2020-03-10,31,28.6129647403062
"15",2020-03-11,38,37.0252129918677
"16",2020-03-12,52,47.9059054713032
"17",2020-03-13,151,61.9761576019001
"18",2020-03-14,151,80.1655864620429
"19",2020-03-15,162,103.671144793856
"20",2020-03-16,200,134.031580352665
"21",2020-03-17,321,173.221008722919
"22",2020-03-18,372,223.765402388927
"23",2020-03-19,621,288.885769227148
"24",2020-03-20,793,372.671072217671
"25",2020-03-21,1021,480.281965696186
"26",2020-03-22,1546,618.182325908742
"27",2020-03-23,1924,794.388088101219
"28",2020-03-24,2247,1018.7104342988
"29",2020-03-25,2554,1302.9510854047
"30",2020-03-26,2985,1660.97999786903
"31",2020-03-27,3417,2108.59079717342
"32",2020-03-28,3904,2662.99218271683
"33",2020-03-29,4256,3341.76838614736
"34",2020-03-30,4579,4161.1550172677
"35",2020-03-31,5717,5133.5662328312
"36",2020-04-01,6836,6264.51133957633
"37",2020-04-02,8044,7549.35564271146
"38",2020-04-03,9056,8970.73340238691
"39",2020-04-04,10360,10497.6280533338
"40",2020-04-05,11130,12086.9678254336
"41",2020-04-06,12161,13687.9322411811
"42",2020-04-07,14034,15248.2080854772
"43",2020-04-08,16170,16720.6380468443
"44",2020-04-09,18092,18068.5361661296
"45",2020-04-10,19638,19268.5065824836
"46",2020-04-11,20727,20310.5543030142
"47",2020-04-12,22192,21196.1059516274
"48",2020-04-13,NA,21934.9398791844
"49",2020-04-14,NA,22541.9565504076
"50",2020-04-15,NA,23034.40344319
