"geres","municipio","macro","macro_nome"
"VIII","DORMENTES",4,"Vale do São Francisco e Araripe"
"VIII","LAGOA GRANDE",4,"Vale do São Francisco e Araripe"
"VIII","OROCO",4,"Vale do São Francisco e Araripe"
"VIII","PETROLINA",4,"Vale do São Francisco e Araripe"
"VIII","SANTA MARIA DA BOA VISTA",4,"Vale do São Francisco e Araripe"
"IX","ARARIPINA",4,"Vale do São Francisco e Araripe"
"IX","BODOCO",4,"Vale do São Francisco e Araripe"
"IX","EXU",4,"Vale do São Francisco e Araripe"
"IX","GRANITO",4,"Vale do São Francisco e Araripe"
"IX","IPUBI",4,"Vale do São Francisco e Araripe"
"IX","MOREILANDIA",4,"Vale do São Francisco e Araripe"
"IX","OURICURI",4,"Vale do São Francisco e Araripe"
"IX","PARNAMIRIM",4,"Vale do São Francisco e Araripe"
"IX","SANTA CRUZ",4,"Vale do São Francisco e Araripe"
"IX","SANTA FILOMENA",4,"Vale do São Francisco e Araripe"
"IX","TRINDADE",4,"Vale do São Francisco e Araripe"
"X","AFOGADOS DA INGAZEIRA",3,"Sertão"
"X","BREJINHO",3,"Sertão"
"X","CARNAIBA",3,"Sertão"
"X","IGUARACY",3,"Sertão"
"X","INGAZEIRA",3,"Sertão"
"X","ITAPETIM",3,"Sertão"
"X","QUIXABA",3,"Sertão"
"X","SANTA TEREZINHA",3,"Sertão"
"X","SAO JOSE DO EGITO",3,"Sertão"
"X","SOLIDAO",3,"Sertão"
"X","TABIRA",3,"Sertão"
"X","TUPARETAMA",3,"Sertão"
"XI","BETANIA",3,"Sertão"
"XI","CALUMBI",3,"Sertão"
"XI","CARNAUBEIRA DA PENHA",3,"Sertão"
"XI","FLORES",3,"Sertão"
"XI","FLORESTA",3,"Sertão"
"XI","ITACURUBA",3,"Sertão"
"XI","SANTA CRUZ DA BAIXA VERDE",3,"Sertão"
"XI","SAO JOSE DO BELMONTE",3,"Sertão"
"XI","SERRA TALHADA",3,"Sertão"
"XI","TRIUNFO",3,"Sertão"
"XII","ALIANCA",1,"Metropolitana"
"XII","CAMUTANGA",1,"Metropolitana"
"XII","CONDADO",1,"Metropolitana"
"XII","FERREIROS",1,"Metropolitana"
"XII","GOIANA",1,"Metropolitana"
"XII","ITAMBE",1,"Metropolitana"
"XII","ITAQUITINGA",1,"Metropolitana"
"XII","MACAPARANA",1,"Metropolitana"
"XII","SAO VICENTE FERRER",1,"Metropolitana"
"XII","TIMBAUBA",1,"Metropolitana"
